t,F_meas_N,speed_mps,mode,delta_m
3.7200,5.8892,0.1500,CONTACT,0.00595
3.7300,5.5256,0.1500,CONTACT,0.00600
3.7400,5.8448,0.1500,CONTACT,0.00602
3.7500,6.0153,0.1500,CONTACT,0.00601
3.7600,5.9114,0.1500,CONTACT,0.00602
3.7700,5.9534,0.1500,CONTACT,0.00603
3.7800,6.0005,0.1500,CONTACT,0.00603
3.7900,5.7788,0.1500,CONTACT,0.00605
3.8000,6.2463,0.1500,CONTACT,0.00603
3.8100,6.0066,0.1500,CONTACT,0.00603
3.8200,6.3498,0.1500,CONTACT,0.00599
3.8300,6.2751,0.1500,CONTACT,0.00596
3.8400,5.9550,0.1500,CONTACT,0.00596
3.8500,5.8921,0.1500,CONTACT,0.00597
3.8600,6.0030,0.1500,CONTACT,0.00597
3.8700,5.8901,0.1500,CONTACT,0.00599
3.8800,5.8943,0.1500,CONTACT,0.00600
3.8900,6.0600,0.1500,CONTACT,0.00599
3.9000,5.8141,0.1500,CONTACT,0.00601
3.9100,5.9487,0.1500,CONTACT,0.00602
3.9200,6.2846,0.1500,CONTACT,0.00599
3.9300,6.2249,0.1500,CONTACT,0.00596
3.9400,5.9708,0.1500,CONTACT,0.00596
3.9500,5.8608,0.1500,CONTACT,0.00598
3.9600,5.6745,0.1500,CONTACT,0.00602
3.9700,6.0070,0.1500,CONTACT,0.00601
3.9800,5.5397,0.1500,CONTACT,0.00607
3.9900,5.8306,0.1500,CONTACT,0.00608
4.0000,6.1089,0.1500,CONTACT,0.00607
4.0100,6.2774,0.1500,CONTACT,0.00604
4.0200,5.9816,0.1500,CONTACT,0.00604
4.0300,5.8389,0.1500,CONTACT,0.00606
4.0400,6.1871,0.1500,CONTACT,0.00604
4.0500,6.2127,0.1500,CONTACT,0.00602
4.0600,5.9475,0.1500,CONTACT,0.00602
4.0700,5.9520,0.1500,CONTACT,0.00603
4.0800,6.1536,0.1500,CONTACT,0.00601
4.0900,5.7587,0.1500,CONTACT,0.00604
4.1000,5.9223,0.1500,CONTACT,0.00605
