t,F_meas_N,speed_mps,mode,depth_m
21.296,10.494,0.172,CONTACT,0.00980
21.341,10.197,0.163,CONTACT,0.00979
21.382,9.983,0.164,CONTACT,0.00980
21.424,10.067,0.166,CONTACT,0.00979
21.465,10.380,0.168,CONTACT,0.00978
21.506,10.502,0.170,CONTACT,0.00976
21.551,10.353,0.171,CONTACT,0.00975
21.592,10.040,0.164,CONTACT,0.00975
21.633,9.738,0.165,CONTACT,0.00976
21.675,9.832,0.166,CONTACT,0.00976
21.718,10.109,0.167,CONTACT,0.00976
21.758,10.342,0.169,CONTACT,0.00975
21.800,10.336,0.170,CONTACT,0.00974
21.842,10.041,0.166,CONTACT,0.00974
21.883,9.620,0.166,CONTACT,0.00975
21.924,9.759,0.167,CONTACT,0.00976
21.966,10.047,0.167,CONTACT,0.00976
22.008,10.170,0.168,CONTACT,0.00975
22.050,10.248,0.168,CONTACT,0.00974
22.092,9.832,0.164,CONTACT,0.00975
22.133,9.495,0.165,CONTACT,0.00976
22.174,9.446,0.166,CONTACT,0.00978
22.215,9.528,0.167,CONTACT,0.00980
22.257,9.696,0.168,CONTACT,0.00981
22.300,9.788,0.170,CONTACT,0.00982
22.341,9.737,0.168,CONTACT,0.00982
22.382,9.734,0.168,CONTACT,0.00983
22.424,9.882,0.167,CONTACT,0.00984
22.466,10.198,0.167,CONTACT,0.00983
22.507,10.474,0.166,CONTACT,0.00982
22.549,10.426,0.165,CONTACT,0.00980
22.591,10.109,0.170,CONTACT,0.00980
22.634,9.900,0.169,CONTACT,0.00980
22.675,9.934,0.167,CONTACT,0.00980
22.716,10.107,0.166,CONTACT,0.00980
22.756,10.214,0.165,CONTACT,0.00979
22.798,10.144,0.164,CONTACT,0.00979
22.843,9.953,0.171,CONTACT,0.00979
22.884,9.760,0.169,CONTACT,0.00980
22.924,9.784,0.168,CONTACT,0.00980
22.965,9.943,0.166,CONTACT,0.00981
23.005,10.045,0.165,CONTACT,0.00980
23.046,9.996,0.163,CONTACT,0.00980
23.087,9.907,0.171,CONTACT,0.00981
23.128,9.698,0.169,CONTACT,0.00982
23.170,9.709,0.168,CONTACT,0.00983
23.212,9.807,0.166,CONTACT,0.00983
23.254,9.897,0.164,CONTACT,0.00984
23.296,9.916,0.163,CONTACT,0.00984
23.337,9.824,0.170,CONTACT,0.00985
23.377,9.695,0.169,CONTACT,0.00986
23.418,9.678,0.168,CONTACT,0.00987
23.460,9.742,0.166,CONTACT,0.00988
23.501,9.806,0.165,CONTACT,0.00988
23.543,9.869,0.163,CONTACT,0.00989
23.585,9.865,0.168,CONTACT,0.00989
23.626,9.810,0.168,CONTACT,0.00990
23.667,9.807,0.167,CONTACT,0.00990
23.707,9.826,0.167,CONTACT,0.00991
23.748,9.868,0.166,CONTACT,0.00991
23.789,9.910,0.166,CONTACT,0.00992
23.830,9.939,0.166,CONTACT,0.00992
23.870,9.965,0.166,CONTACT,0.00992
23.912,9.987,0.167,CONTACT,0.00992
23.953,10.010,0.167,CONTACT,0.00992
23.994,10.033,0.168,CONTACT,0.00992
24.035,10.035,0.168,CONTACT,0.00992
24.078,10.025,0.163,CONTACT,0.00992
24.121,10.054,0.165,CONTACT,0.00992
24.162,10.115,0.166,CONTACT,0.00991
24.205,10.202,0.168,CONTACT,0.00990
24.247,10.245,0.169,CONTACT,0.00990
24.289,10.213,0.170,CONTACT,0.00989
24.330,10.066,0.163,CONTACT,0.00989
24.371,10.038,0.164,CONTACT,0.00989
24.411,10.125,0.166,CONTACT,0.00988
24.452,10.279,0.168,CONTACT,0.00987
24.493,10.372,0.169,CONTACT,0.00986
24.533,10.294,0.171,CONTACT,0.00985
24.575,10.202,0.163,CONTACT,0.00984
24.616,10.061,0.165,CONTACT,0.00984
24.656,10.105,0.166,CONTACT,0.00984
24.697,10.273,0.168,CONTACT,0.00983
24.739,10.333,0.169,CONTACT,0.00982
24.780,10.281,0.171,CONTACT,0.00981
24.822,10.012,0.164,CONTACT,0.00981
24.864,9.846,0.165,CONTACT,0.00981
24.906,9.943,0.166,CONTACT,0.00982
24.948,10.143,0.167,CONTACT,0.00981
24.990,10.262,0.169,CONTACT,0.00980
25.033,10.274,0.170,CONTACT,0.00979
25.074,9.938,0.165,CONTACT,0.00979
25.115,9.797,0.166,CONTACT,0.00980
25.158,9.920,0.167,CONTACT,0.00980
25.202,10.030,0.167,CONTACT,0.00980
25.246,10.202,0.168,CONTACT,0.00980
25.287,10.279,0.168,CONTACT,0.00979
25.327,10.071,0.165,CONTACT,0.00978
25.369,9.792,0.166,CONTACT,0.00979
25.411,9.771,0.166,CONTACT,0.00980
25.453,9.832,0.167,CONTACT,0.00980
25.496,9.985,0.168,CONTACT,0.00981
25.536,10.043,0.168,CONTACT,0.00980
25.579,9.953,0.168,CONTACT,0.00981
25.621,9.817,0.168,CONTACT,0.00981
25.663,9.821,0.167,CONTACT,0.00982
25.705,9.970,0.166,CONTACT,0.00982
25.747,10.110,0.166,CONTACT,0.00981
25.788,10.135,0.165,CONTACT,0.00981
25.830,10.006,0.170,CONTACT,0.00981
25.870,9.871,0.168,CONTACT,0.00981
25.911,9.888,0.167,CONTACT,0.00982
25.954,9.996,0.166,CONTACT,0.00982
25.995,10.073,0.165,CONTACT,0.00982
26.038,10.050,0.164,CONTACT,0.00981
26.079,9.944,0.170,CONTACT,0.00982
26.121,9.819,0.169,CONTACT,0.00982
26.162,9.814,0.168,CONTACT,0.00983
26.204,9.876,0.166,CONTACT,0.00983
26.244,9.960,0.165,CONTACT,0.00983
26.286,9.980,0.164,CONTACT,0.00983
26.326,9.897,0.170,CONTACT,0.00984
26.369,9.783,0.169,CONTACT,0.00985
26.410,9.773,0.168,CONTACT,0.00985
26.451,9.837,0.166,CONTACT,0.00986
26.491,9.896,0.165,CONTACT,0.00986
26.533,9.937,0.164,CONTACT,0.00986
26.574,9.893,0.169,CONTACT,0.00987
26.616,9.829,0.168,CONTACT,0.00987
26.657,9.820,0.167,CONTACT,0.00988
26.698,9.854,0.166,CONTACT,0.00988
26.740,9.891,0.165,CONTACT,0.00989
26.782,9.927,0.164,CONTACT,0.00989
26.823,9.917,0.168,CONTACT,0.00989
26.865,9.899,0.167,CONTACT,0.00990
26.907,9.897,0.167,CONTACT,0.00990
26.947,9.904,0.167,CONTACT,0.00990
26.988,9.929,0.166,CONTACT,0.00990
27.030,9.951,0.166,CONTACT,0.00991
27.072,9.966,0.166,CONTACT,0.00991
27.114,9.979,0.166,CONTACT,0.00991
27.155,9.992,0.167,CONTACT,0.00991
27.197,10.008,0.167,CONTACT,0.00991
27.240,10.017,0.167,CONTACT,0.00991
27.281,10.020,0.168,CONTACT,0.00991
27.321,10.016,0.164,CONTACT,0.00991
27.362,10.022,0.165,CONTACT,0.00991
27.404,10.065,0.166,CONTACT,0.00990
27.447,10.110,0.167,CONTACT,0.00990
27.488,10.129,0.168,CONTACT,0.00990
27.531,10.106,0.169,CONTACT,0.00989
27.572,10.083,0.164,CONTACT,0.00989
27.612,10.062,0.165,CONTACT,0.00989
27.653,10.120,0.166,CONTACT,0.00988
27.694,10.182,0.168,CONTACT,0.00988
27.735,10.202,0.169,CONTACT,0.00987
27.776,10.175,0.170,CONTACT,0.00986
27.818,10.100,0.164,CONTACT,0.00986
27.858,10.010,0.165,CONTACT,0.00986
27.899,10.051,0.166,CONTACT,0.00986
27.939,10.150,0.168,CONTACT,0.00985
27.981,10.220,0.169,CONTACT,0.00985
28.022,10.212,0.170,CONTACT,0.00984
28.064,10.089,0.164,CONTACT,0.00984
